SKU_ID,Product_Name,Merchant_SKU_ID,Merchant_SKU_Name,Product_Type,Meta Category,Cost,MRP,price,Block_qty,Ordered_qty,Available_promise_qty,Total_Qty,Warehouse,TTWH,status,HSN Code,Image,Qty Sold in last 30 days,Days on Hand
FM1744870-S-PM9338,Areia Fabric 1 Seater Sofa in Beige Colour,AS-303 1 seater Chesterfield Sofa_Azora 140_59204_1S_V_AMBRVL_Pm,AS-303 1 seater Chesterfield Sofa_Azora 140_59204_1S_V_AMBRVL_Hybrid,simple,Furniture,13924,52999,51586,---,---,20,20,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/a/r/60x66/areia-1-seater-sofa-in-beige-colour-by-amberville-areia-1-seater-sofa-in-beige-colour-by-amberville-wq0kt1.jpg,0,0
FM1744874-S-PM9338,Allanton Fabric 3 Seater Sofa in Beige Colour,AS-303 3 seater Chesterfield Sofa_Azora 140_59204_3S_V_AMBRVL_PM,AS-303 3 seater Chesterfield Sofa_Azora 140_59204_3S_V_AMBRVL_Hybrid,simple,Furniture,23954,91999,58124,---,---,20,20,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/a/r/60x66/areia-three-seater-sofa-in-beige-colour-by-amberville-areia-three-seater-sofa-in-beige-colour-by-amb-8wpljs.jpg,0,0
FM1744875-S-PM9338,Allanton Fabric 2 Seater Sofa In Beige Colour,AS-303 2 seater Chesterfield Sofa_Azora 140_59204_2S_V_AMBRVL_PM,AS-303 2 seater Chesterfield Sofa_Azora 140_59204_2S_V_AMBRVL_PM,simple,Furniture,17292,52999,51249,---,---,10,10,Bhiwandi WH,6,Live,94016100,https://i1.pepperfry.com/media/catalog/product/a/l/60x66/allanton-fabric-2-seater-sofa-in-beige-colour-allanton-fabric-2-seater-sofa-in-beige-colour-zblvpa.jpg,0,0
FM1745081-S-PM9338,Areia Fabric 1 Seater Sofa In Charcoal Grey Colour,AS-303 1 seater Chesterfield Sofa_Azora 140_58146_1S_V_AMBRVL_PM,AS-303 1 seater Chesterfield Sofa_Azora 140_58146_1S_V_AMBRVL_PM,simple,Furniture,13924,52999,51586,---,---,20,20,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/a/r/60x66/areia-1-seater-sofa-in-charcoal-grey-colour-by-amberville-areia-1-seater-sofa-in-charcoal-grey-colou-augbuv.jpg,0,0
FM1745082-S-PM9338,Allanton Leatherette 1 Seater Sofa In Sandy Beige Colour,AS-303 1 seater Chesterfield Sofa_Nevada 901_1S_V_AMBRVL_PM,AS-303 1 seater Chesterfield Sofa_Nevada 901_1S_V_AMBRVL_PM,simple,Furniture,13924,39999,36249,---,---,20,20,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/a/l/60x66/allanton-leatherette-1-seater-sofa-in-sandy-beige-colour-allanton-leatherette-1-seater-sofa-in-sandy-enlgkr.jpg,0,0
FM1745083-S-PM9338,Allanton Fabric 1 Seater Sofa In Navy Blue Colour,AS-303 1 seater Chesterfield Sofa_Azora 140_56136_1S_V_AMBRVL_PM,AS-303 1 seater Chesterfield Sofa_Azora 140_56136_1S_V_AMBRVL_PM,simple,Furniture,13924,39999,36249,---,---,20,20,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/a/l/60x66/allanton-fabric-1-seater-sofa-in-navy-blue-colour-allanton-fabric-1-seater-sofa-in-navy-blue-colour-vhfz2y.jpg,0,0
FM1745084-S-PM9338,Allanton Fabric 3 Seater Sofa In Navy Blue Colour,AS-303 3 seater Chesterfield Sofa_Azora 140_56136_3S_V_AMBRVL_PM,AS-303 3 seater Chesterfield Sofa_Azora 140_56136_3S_V_AMBRVL_PM,simple,Furniture,23010,66999,61249,---,---,20,20,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/a/r/60x66/areia-three-seater-sofa-in-navy-blue-colour-by-amberville-areia-three-seater-sofa-in-navy-blue-colou-rnrx5v.jpg,0,0
FM1745085-S-PM9338,Areia Fabric 2 Seater Sofa In Charcoal Grey Colour,AS-303 2 seater Chesterfield Sofa_Azora 140_58146_2S_V_AMBRVL_PM,AS-303 2 seater Chesterfield Sofa_Azora 140_58146_2S_V_AMBRVL_PM,simple,Furniture,18762,71999,69840,---,---,20,20,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/a/r/60x66/areia-two-seater-sofa-in-charcoal-grey-colour-by-amberville-areia-two-seater-sofa-in-charcoal-grey-c-weitlw.jpg,0,0
FM1745087-S-PM9338,Allanton Fabric 2 Seater Sofa In Navy Blue Colour,AS-303 2 seater Chesterfield Sofa_Azora 140_56136_2S_V_AMBRVL_PM,AS-303 2 seater Chesterfield Sofa_Azora 140_56136_2S_V_AMBRVL_PM,simple,Furniture,18762,52999,48749,---,---,20,20,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/a/r/60x66/areia-two-seater-sofa-in-navy-blue-colour-by-amberville-areia-two-seater-sofa-in-navy-blue-colour-by-jdd6rw.jpg,0,0
FM1745088-S-PM9338,Areia Fabric 3 Seater Sofa In Charcoal Grey Colour,AS-303 3 seater Chesterfield Sofa_Azora 140_58146_3S_V_AMBRVL_PM,AS-303 3 seater Chesterfield Sofa_Azora 140_58146_3S_V_AMBRVL_PM,simple,Furniture,22756,91999,87888,---,---,20,20,Bhiwandi WH,6,Not Live,94016100,https://i1.pepperfry.com/media/catalog/product/a/r/60x66/areia-three-seater-sofa-in-charcoal-grey-colour-by-amberville-areia-three-seater-sofa-in-charcoal-gr-utf2ok.jpg,0,0
