SKU_ID,Product_Name,Merchant_SKU_ID,Merchant_SKU_Name,Product_Type,"Meta Category",Cost,MRP,price,Block_qty,Ordered_qty,Available_promise_qty,Total_Qty,Warehouse,TTWH,status,"HSN Code",Image,"Qty Sold in last 30 days"
FN1875542-S-WH32516,"Serena Fabric LHS Sectional Sofa (3 + Lounger) In Garnet Red Colour","Serena-LHS 3 Seater-Garnet Red_New_2021-3427-WH32516","Serena-LHS 3 Seater-Garnet Red_New_2021-3427-WH32516",simple,Furniture,22514,74499,71332,---,---,1,1,"Bhiwandi WH",0,Live,94036000,https://i1.pepperfry.com/media/catalog/product/s/e/60x66/serena-3-seater-lhs-sofa-in-garnet-red-colour---casacraft-by-pepperfry-serena-3-seater-lhs-sofa-in-g-g60lam.jpg,0
FN1875534-S-WH32516,"Serena Fabric LHS Sectional Sofa (3 + Lounger) In Sandy Brown Colour","Serena-LHS 3 Seater-Sandy Brown_New_2021-3427-WH32516","Serena-LHS 3 Seater-Sandy Brown_New_2021-3427-WH32516",simple,Furniture,22514,74499,71332,---,---,1,1,"Bhiwandi WH",0,Live,94036000,https://i1.pepperfry.com/media/catalog/product/s/e/60x66/serena-3-seater-lhs-sofa-in-sandy-brown-colour---casacraft-by-pepperfry-serena-3-seater-lhs-sofa-in--upnimz.jpg,0
FN1875539-S-WH32516,"Serena Fabric RHS Sectional Sofa (3 + Lounger) in Blue Colour","Serena-RHS 3 Seater-Blue_New_2021-3427-WH32516","Serena-RHS 3 Seater-Blue_New_2021-3427-WH32516",simple,Furniture,22514,74499,71332,---,---,1,1,"Bhiwandi WH",0,Live,94036000,https://i1.pepperfry.com/media/catalog/product/s/e/60x66/serena-fabric-rhs-sectional-sofa--3---lounger--in-blue-colour-serena-fabric-rhs-sectional-sofa--3----wpdamz.jpg,0
FM1903127-S-WH32516,"Espino Velvet LHS Sectional Sofa (3 + Lounger) In Teal Blue Colour","AS-452L-LHS-Vishat Teal","AS-452L-LHS-Vishat Teal",simple,Furniture,32804,108499,101999,---,---,2,2,"Bhiwandi WH",0,Live,94036000,https://i1.pepperfry.com/media/catalog/product/e/s/60x66/espino-velvet-lhs-sectional-sofa--3---lounger--in-teal-blue-colour-espino-velvet-lhs-sectional-sofa--runuem.jpg,0
FN1755721-S-WH32516,"Bari Leatherette 2 Seater Sofa In Dark Brown Colour",BARI-02-32516,"Bari Two Seater Sofa in Dark Brown Colour by Minthomez-32516",simple,Furniture,9720,31999,31249,---,---,2,2,"Bhiwandi WH",0,Live,94036000,https://i1.pepperfry.com/media/catalog/product/b/a/60x66/bari-leatherette-2-seater-sofa-in-dark-brown-colour-bari-leatherette-2-seater-sofa-in-dark-brown-col-kbvqda.jpg,0
FN1755720-S-WH32516,"Bari Leatherette 3 Seater Sofa In Dark Brown Colour",BARI-03-32516,"Bari Three Seater Sofa in Dark Brown Colour by Minthomez-32516",simple,Furniture,12365,40999,39999,---,---,4,4,"Bhiwandi WH",0,Live,94036000,https://i1.pepperfry.com/media/catalog/product/b/a/60x66/bari-leatherette-3-seater-sofa-in-dark-brown-colour-bari-leatherette-3-seater-sofa-in-dark-brown-col-znaavw.jpg,0
FM1963678-S-WH32516,"Ines Fabric Pull Out Sofa Cum Bed In Charcoal Grey Colour with Storage",AS-318-C.H.-SCB-CharcoalGrey-Azora58146,"Ines Charcoal Grey",simple,Furniture,27140,69499,69411,---,1,1,2,"Bhiwandi WH",0,Live,94016100,https://i1.pepperfry.com/media/catalog/product/i/n/60x66/ines-sofa-cum-bed-in-charcoal-grey-colour-by-casacraft-ines-sofa-cum-bed-in-charcoal-grey-colour-by--odpqn0.jpg,7
FN1877167-S-WH32516,"Ines Fabric Pull Out Sofa Cum Bed In Slate Grey Colour With Storage","AS-318-SCBCurvedHandle-OMEGA 352 GREY","AS-318-SCBCurvedHandle-OMEGA 352 GREY",simple,Furniture,27140,69499,69411,---,3,2,5,"Bhiwandi WH",0,Live,94016100,https://i1.pepperfry.com/media/catalog/product/i/n/60x66/ines-sofa-cum-bed-in-steel-grey-colour---casacraft-by-pepperfry-ines-sofa-cum-bed-in-steel-grey-colo-ozz0be.jpg,5
FN1745304-S-WH32516,"Vintter Leatherette 1 Seater Motorized Recliner in Black & Brown Colour","Hero One Seater Recliner Motorize_Faux_07_PM_01","Hero One Seater Recliner Motorize_Faux_07_Hybrid",simple,Furniture,17458,66999,62856,---,2,4,6,"Bhiwandi WH",0,Live,94036000,https://i1.pepperfry.com/media/catalog/product/v/i/60x66/vintter-1-seater-leatherette-motorized-recliner-in-black---brown-colour-by-casacraft-vintter-1-seate-nqlrdl.jpg,3
FM1919801-S-WH32516,"Penza Leatherette 1 Seater Sofa In Grey Colour",AS-105-1S-GreyPVC,"1 Seater Sofa",simple,Furniture,10960,38999,17499,---,1,---,1,"Bhiwandi WH",0,"Out of Stock",94016100,https://i1.pepperfry.com/media/catalog/product/p/e/60x66/penza-leatherette-1-seater-sofa-in-grey-colour-penza-leatherette-1-seater-sofa-in-grey-colour-vy5qzd.jpg,1
FM1962283-S-WH32516,"Adalia Leatherette 3 Seater Sofa In Brown Colour","Sofa 2 - Three Seater.,-32516","PVC - Texas Brown, Matte Black, Nimbus Grey.-32516",simple,Furniture,16638,54999,51999,---,---,---,0,Bangalore,0,"Not Live",94036000,https://i1.pepperfry.com/media/catalog/product/a/d/60x66/adalia-3-seater-sofa-in-brown-colour----casacraft-by-pepperfry-adalia-3-seater-sofa-in-brown-colour--lbqjs9.jpg,1
FN1857229-S-WH32516,"Minami Fabric 2 Seater Sofa in Slate Grey Colour","AS-429-2 Str- Grey Omega 352","AS-429-2 Str- Grey Omega 352",simple,Furniture,10030,29999,25311,---,1,1,2,"Bhiwandi WH",0,Live,94016100,https://i1.pepperfry.com/media/catalog/product/m/i/60x66/minami-2-seater-sofa-in-slate-grey-colour-minami-2-seater-sofa-in-slate-grey-colour-ocpe9t.jpg,1
FM1913262-S-WH32516,"Ines Fabric Pull Out Sofa Cum Bed In Navy Blue Colour With Storage",AS-318-SCB-CurveHandle-NavyBlue-Azora56136,"Sofa Cum Bed",simple,Furniture,27140,69499,69411,1,2,2,5,Bangalore,0,Live,94016100,https://i1.pepperfry.com/media/catalog/product/s/a/60x66/savana-sofa-cum-bed-in-navy-blue-colour-savana-sofa-cum-bed-in-navy-blue-colour-jlyzvf.jpg,9
FN1857289-S-WH32516,"Kaylee Velvet 2 Seater Sofa In Blush Pink Colour","AS-443-2 Str-Blush-VISHAT BLUSH","AS-443-2 Str-Blush-VISHAT BLUSH",simple,Furniture,18868,62499,58665,7,1,---,8,"Bhiwandi WH",0,"Not Live",94016100,https://i1.pepperfry.com/media/catalog/product/k/a/60x66/kaylee-velvet-2-seater-sofa-in-blush-pink-colour-kaylee-velvet-2-seater-sofa-in-blush-pink-colour-urd4id.jpg,2
FN1857291-S-WH32516,"Kaylee Velvet 3 Seater Sofa In Blush Pink Colour","AS-443-3 Str-Blush-VISHAT BLUSH/","AS-443-3 Str-Blush-VISHAT BLUSH/",simple,Furniture,21287,69999,67499,4,1,2,7,"Bhiwandi WH",0,Live,94016100,https://i1.pepperfry.com/media/catalog/product/k/a/60x66/kaylee-velvet-3-seater-sofa-in-blush-pink-colour-kaylee-velvet-3-seater-sofa-in-blush-pink-colour-viuhf4.jpg,2
FM1963678-S-WH32516,"Ines Fabric Pull Out Sofa Cum Bed In Charcoal Grey Colour with Storage",AS-318-C.H.-SCB-CharcoalGrey-Azora58146,"Ines Charcoal Grey",simple,Furniture,27140,69499,69411,---,1,---,1,Bangalore,0,"Out of Stock",94016100,https://i1.pepperfry.com/media/catalog/product/i/n/60x66/ines-sofa-cum-bed-in-charcoal-grey-colour-by-casacraft-ines-sofa-cum-bed-in-charcoal-grey-colour-by--odpqn0.jpg,7
FN2095548-S-WH32516,"Ines Fabric Pull Out Sofa Cum Bed In Maroon Colour With Storage",AS-318-CH-SCB-AzoraMaroon_32516,AS-318-CH-SCB-AzoraMaroon_32516,simple,Furniture,27140,69499,69411,---,---,---,0,"Bhiwandi WH",0,"Not Live",94036000,https://i1.pepperfry.com/media/catalog/product/i/n/60x66/ines-fabric-pull-out-sofa-cum-bed-in-maroon-colour-with-storage-ines-fabric-pull-out-sofa-cum-bed-in-hiki7b.jpg,2
FM1896988-S-WH32516,"Fidel Velvet 3 Seater Sofa In Beige Colour",AS-471-3S-Beige-Iconic12,AS-471-3S-Beige-Iconic12,simple,Furniture,17464,57499,55999,---,---,4,4,"Bhiwandi WH",0,Live,94016100,https://i1.pepperfry.com/media/catalog/product/f/i/60x66/fidel-velvet-3-seater-sofa-in-beige-colour-fidel-velvet-3-seater-sofa-in-beige-colour-6bw6dr.jpg,0
FM1917747-S-WH32516,"Azalea Velvet 1 Seater Sofa In Fossil Grey Colour","AS-475-1S-Grey Velvet-Iconic57","1 Seater Sofa",simple,Furniture,13334,43999,41332,---,1,---,1,"Bhiwandi WH",0,"Not Live",94016100,https://i1.pepperfry.com/media/catalog/product/a/z/60x66/azalea-velvet-1-seater-sofa-in-fossil-grey-colour-azalea-velvet-1-seater-sofa-in-fossil-grey-colour-celudd.jpg,1
FM1942247-S-WH32516,"Bolivar Upholstered Dining Chair In Yellow Colour","Bolivar Chair Yellow.-32516",0-32516,simple,Furniture,6903,21999,16999,2,---,2,4,Bangalore,0,Live,94036000,https://i1.pepperfry.com/media/catalog/product/b/o/60x66/bolivar-fabric-dining-chair-in-yellow-colour-bolivar-fabric-dining-chair-in-yellow-colour-ji5z2a.jpg,0
