PS D:\Python\AadeshwarWorkOrder> & "C:/Program Files/Python313/python.exe" d:/Python/AadeshwarWorkOrder/src/test.py
Sat Feb  1 19:52:57 2025    PROFILE.txt

         2647911 function calls (2613528 primitive calls) in 58.190 seconds

   Ordered by: internal time
   List reduced from 3173 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/9   19.537    1.954   34.130    3.792 C:\Program Files\Python313\Lib\site-packages\docx2pdf\__init__.py:101(convert)    
        9   16.604    1.845   16.604    1.845 {built-in method pythoncom.CoCreateInstance}
   137/44   10.274    0.075   18.182    0.413 {method 'acquire' of '_thread.lock' objects}
       36    5.160    0.143    5.160    0.143 {method 'InvokeTypes' of 'PyIDispatch' objects}
    51670    1.335    0.000    1.335    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\xmlchemy.py:700(xpath)     
       14    0.716    0.051    0.716    0.051 {method 'read' of '_ssl._SSLSocket' objects}
       81    0.636    0.008    0.636    0.008 {method 'GetTypeAttr' of 'PyITypeInfo' objects}
   114414    0.506    0.000    0.597    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\xmlchemy.py:392(get_child_element)
      679    0.324    0.000    0.324    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.206    0.041    0.206    0.041 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    24424    0.149    0.000    0.171    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\xmlchemy.py:409(get_child_element_list)
       27    0.117    0.004    0.117    0.004 {method 'GetTypeInfo' of 'PyIDispatch' objects}
        1    0.104    0.104    0.104    0.104 C:\Program Files\Python313\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:60(__init__)
      208    0.103    0.000    0.103    0.000 {built-in method _io.open_code}
       27    0.091    0.003    0.091    0.003 {method 'GetTypeComp' of 'PyITypeInfo' objects}
      180    0.089    0.000    0.091    0.001 {method 'Bind' of 'PyITypeComp' objects}
   162590    0.086    0.000    0.133    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\ns.py:100(qn)
    37953    0.074    0.000    0.140    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\worksheet\_reader.py:189(parse_cell)
      858    0.056    0.000    0.056    0.000 {built-in method nt.stat}
      117    0.052    0.000    0.052    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
        5    0.048    0.010    0.048    0.010 {built-in method _socket.getaddrinfo}
   164615    0.047    0.000    0.047    0.000 {method 'split' of 'str' objects}
        1    0.044    0.044    0.044    0.044 {built-in method _winapi._mimetypes_read_windows_registry}
    75122    0.042    0.000    0.064    0.000 C:\Program Files\Python313\Lib\xml\etree\ElementTree.py:1309(read_events)
44257/29793    0.040    0.000    0.489    0.000 {method 'join' of 'str' objects}
9259/8574    0.038    0.000    0.179    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
38738/24688    0.037    0.000    1.342    0.000 C:\Program Files\Python313\Lib\site-packages\docx\table.py:410(iter_tc_cells)   
    37953    0.036    0.000    0.037    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\utils\cell.py:206(coordinate_to_tuple)
237678/237652    0.035    0.000    0.037    0.000 {built-in method builtins.isinstance}
     2111    0.034    0.000    0.054    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\worksheet\_read_only.py:105(_get_row)
        5    0.029    0.006    0.029    0.006 {method 'connect' of '_socket.socket' objects}
    17061    0.028    0.000    0.036    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\descriptors\sequence.py:24(__set__)
      928    0.028    0.000    0.036    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\xmlchemy.py:669(first_child_found_in)
        8    0.027    0.003    0.027    0.003 {built-in method _imp.create_dynamic}
      113    0.026    0.000    0.026    0.000 {method 'compress' of 'zlib.Compress' objects}
       45    0.025    0.001    0.025    0.001 {method 'GetNames' of 'PyITypeInfo' objects}
        5    0.025    0.005    3.810    0.762 d:\Python\AadeshwarWorkOrder\src\foaming.py:25(process_work_order)
     2112    0.024    0.000    0.305    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\worksheet\_reader.py:125(parse)
    37998    0.023    0.000    0.029    0.000 C:\Program Files\Python313\Lib\site-packages\pandas\io\excel\_openpyxl.py:589(_convert_cell)
      208    0.022    0.000    0.022    0.000 {built-in method marshal.loads}
    15416    0.022    0.000    0.142    0.000 C:\Program Files\Python313\Lib\site-packages\docx\blkcntnr.py:80(paragraphs)      
    35945    0.021    0.000    0.026    0.000 C:\Program Files\Python313\Lib\site-packages\pandas\core\dtypes\cast.py:182(maybe_box_native)
    17765    0.021    0.000    0.948    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\text\paragraph.py:95(text) 
        1    0.021    0.021    0.237    0.237 C:\Program Files\Python313\Lib\site-packages\openpyxl\reader\strings.py:10(read_string_table)
